id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count,dist_to_prague_castle,dist_to_charles_bridge,dist_to_old_town_square,dist_to_st._vitus_cathedral,dist_to_vysehrad,dist_to_petrin_tower
23163,50.08229,14.41552,499,154,0,49,0,1.393438003027807,0.5527729710617784,0.702937428822269,1.3501909397903502,2.0038485445892142,1.4063653697441059
23169,50.0883,14.42272,495,141,0,51,0,1.6007399547814019,0.8320539140740838,0.14584667121879805,1.5681197926095072,2.6715031396309112,1.9865676118240105
26755,50.08729,14.43179,416,109,0,35,0,2.2572623188127663,1.4573836207642994,0.7630323347220782,2.2242872243865657,2.706370278204461,2.595115639598154
30762,50.08821,14.42623,472,131,0,48,0,1.8502808454030992,1.0749927094590623,0.3744129795349962,1.8180253353223854,2.698728896174834,2.226429985217685
42514,50.08228,14.41345,460,146,0,44,0,1.2841082099998966,0.49151022396697663,0.79675738580309,1.2404166842292121,2.0258523187877824,1.259544091445115
52148,50.06996574291571,14.430666050424191,178,93,0,11,0,3.121816386095256,2.295698843073061,2.0657605714395935,3.0779809568176195,1.0432058481510793,2.901695675080558
55844,50.07795,14.43388,319,123,0,13,0,2.7491975175736307,1.8645870104617854,1.3997038053001418,2.7078562931550305,1.8474590296275517,2.779427636293783
55856,50.07617,14.43308,276,113,0,15,0,2.8057873594513336,1.9267674663424377,1.5224621897227593,2.7634919696603246,1.6544083039014104,2.7753932497476552
70003,50.08557,14.45098,185,38,0,2,0,3.639642537275034,2.8257965397274587,2.142592947074304,3.6067107356448393,3.2836466598299405,3.9366358601685216
75298,50.092285,14.4329,289,64,0,23,0,2.321895445840189,1.6632722136449838,0.9958730913783368,2.296948182930781,3.2576353019026807,2.81467380422373
79373,50.08844,14.42424,483,131,0,48,0,1.7062350746744563,0.9411210072468624,0.24720423246303305,1.67413304442441,2.7001510336851187,2.0952548965705735
79381,50.08943,14.42373,462,129,0,47,0,1.660073304762184,0.9380646859855852,0.28506445151746374,1.6299536378752064,2.8044696496514607,2.0921867515927555
79387,50.08943,14.42373,462,129,0,47,0,1.660073304762184,0.9380646859855852,0.28506445151746374,1.6299536378752064,2.8044696496514607,2.0921867515927555
79711,50.08051,14.41487,449,143,0,39,0,1.495398536653932,0.7105854520943431,0.8953824540933579,1.4515515926159543,1.8142917626818442,1.3937957131563998
83067,50.08409,14.41352,483,145,0,50,0,1.1574523966116006,0.3077205933472768,0.6604921961266249,1.1146929258008398,2.2228372014563242,1.2588988070121072
83855,50.08409,14.41352,483,145,0,50,0,1.1574523966116006,0.3077205933472768,0.6604921961266249,1.1146929258008398,2.2228372014563242,1.2588988070121072
83856,50.08385,14.41463,512,156,0,51,0,1.23720126321719,0.37408216364487207,0.6146654765749814,1.1946595345487032,2.184103503551903,1.3369566951522818
85790,50.07744,14.4141,359,104,0,24,0,1.7281210310769226,1.0256813393266273,1.2250622134258509,1.684501130705773,1.4899003763431522,1.4630732234818966
98852,50.08588,14.42145,537,167,0,54,0,1.5733825791310783,0.7203389819094133,0.18185832751117806,1.5360260929417051,2.3953892827284338,1.842069576911673
106207,50.08766,14.451,175,37,0,2,0,3.6147282381624097,2.828211912483073,2.1332727689864703,3.5837211341493442,3.4549641818345584,3.9583630180779967
