id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
799789191887236149,41.37682,2.1721,499,97,0,19,2
799941993029475794,41.42451180793086,2.176412707285319,57,0,0,1,0
799947720031753398,41.3749377,2.147528,201,27,0,2,0
800014815320427776,41.39757622156471,2.118296685247986,37,4,0,1,0
807623137089812574,41.39465000000001,2.1875067,162,12,0,5,0
807791249697887002,41.409564,2.1580319,260,5,0,1,0
807835584672698122,41.37715631051008,2.157721091368332,363,41,0,3,1
807901030813232376,41.37874,2.16586,542,113,0,15,3
807905108197429426,41.3794589,2.1666223,574,121,0,16,3
807925066305877231,41.4105035933714,2.1707773514965467,332,10,0,1,0
807952955985093763,41.39984945078788,2.1568042239871112,579,52,0,1,0
800038882269106801,41.40803241288775,2.176643562867909,390,19,0,2,0
800545670923704690,41.3869552,2.1456576,322,24,0,1,0
800553496638814663,41.3903594,2.1592606,651,99,0,7,1
800666233145759508,41.37885842455714,2.1657259621982234,549,115,0,15,3
800713178395248123,41.3869552,2.1456576,322,24,0,1,0
807953239389379095,41.398751096552175,2.1585120997182834,627,54,0,3,0
808020717509369068,41.44755434300996,2.1743959192465585,9,0,0,0,0
808385315107377186,41.40114142505482,2.175465603774225,439,28,0,3,0
808453403990581777,41.40042632274746,2.1747731974450417,447,33,0,3,0
808462770832376153,41.39996504367248,2.2036528795551464,155,5,0,2,0
808464613836470997,41.3794589,2.1666223,574,121,0,16,3
808464686432689342,41.3794589,2.1666223,574,121,0,16,3
808466280881518628,41.3794589,2.1666223,574,121,0,16,3
808466418240111628,41.3794589,2.1666223,574,121,0,16,3
808466475818480333,41.3794589,2.1666223,574,121,0,16,3
800803982075750598,41.3864367940869,2.126173487491734,98,7,0,2,0
800874629522225711,41.42879562786325,2.1703808475407733,31,0,0,0,0
801096135465523944,41.37477175219456,2.138866957043025,180,17,0,0,0
808466510557200468,41.38041676300645,2.1660631919406312,613,122,0,18,3
808466554576257571,41.3794589,2.1666223,574,121,0,16,3
808466622031385796,41.3794589,2.1666223,574,121,0,16,3
808466657587329607,41.3794589,2.1666223,574,121,0,16,3
808471608266555023,41.38034173272474,2.1662642577399462,609,123,0,18,3
808471705786949305,41.3794589,2.1666223,574,121,0,16,3
808522819041222921,41.40125,2.17655,427,23,0,3,0
808538407310687262,41.39176978041235,2.14592542988242,375,28,0,2,0
808586540997780919,41.40183301890462,2.163029689488682,565,38,0,2,0
808640387819388399,41.38509291624976,2.1623088288005787,623,117,0,14,2
801245596182604221,41.38102141249522,2.1632560976673223,595,112,0,11,3
801294111570442501,41.3735139,2.1630122,286,36,0,3,1
801298246471211780,41.3887842,2.1793262,521,90,0,21,2
801300110552190218,41.38018234004485,2.1719707873630685,646,130,0,22,3
801378892270247839,41.403516145732056,2.2011932995853405,173,4,0,2,0
808731027799584561,41.3798005011418,2.130586204913621,189,11,0,2,0
808844676366926682,41.37905290837236,2.1641819179058075,546,113,0,10,3
809932149122170687,41.3910789,2.1605899,678,107,0,6,1
809950196290454086,41.38655186017768,2.1838995154200678,460,45,0,20,1
810071660206034843,41.40917902336001,2.182726948469545,326,13,0,1,0
810145356203803935,41.37392235974925,2.159268817841367,290,35,0,3,1
810594887570740279,41.39619601382267,2.155190537996289,660,62,0,3,0
810635320097155905,41.4036978,2.1781552,426,22,0,3,0
810635331751384053,41.37599,2.15724,334,37,0,3,1
801446178462925420,41.3794589,2.1666223,574,121,0,16,3
801467884236641508,41.3794589,2.1666223,574,121,0,16,3
801502255180006258,41.3814539793141,2.1480452034413315,301,32,0,0,0
801575043964571167,41.403808,2.1798362,416,22,0,3,0
801583095581290499,41.4163443233676,2.209715561569089,38,4,0,0,0
801635957956273813,41.39288509111529,2.1666294817797698,635,112,0,9,1
801880348065806187,41.38421,2.18492,484,49,0,19,1
801882348570209416,41.38474374067361,2.183791615409595,496,58,0,23,1
801909472414507212,41.39432715465425,2.151150388034365,530,48,0,2,0
801918176775972453,41.39191,2.1491,464,35,0,2,0
801951871170976257,41.41006,2.16832,329,11,0,1,0
801957211943872343,41.3903594,2.1592606,651,99,0,7,1
802094697963093478,41.40083811538637,2.174991549540833,441,31,0,3,0
802126874920829758,41.37871,2.16434,537,109,0,10,3
802144566224665855,41.3902429,2.1581668,645,93,0,7,0
802163617139116408,41.40689792859971,2.1534439708367934,313,10,0,1,0
802182774436431887,41.380808834351136,2.1541582449834022,390,42,0,0,0
802588447464994085,41.38693208786601,2.1543168912552764,528,59,0,5,0
810640533269038391,41.3937705,2.1806999,326,44,0,10,0
810643037778656436,41.3896867,2.1810497,413,65,0,17,1
810728105341461501,41.396453,2.1246226,53,4,0,1,0
810806870564040769,41.36504,2.18854,13,1,0,0,0
810914429272122894,41.3886225,2.1714472,663,140,0,27,2
810991407963880043,41.39933703874418,2.160644079828738,623,50,0,3,0
811301890152938539,41.3790097,2.1567379,394,39,0,4,1
802712729773070220,41.37954,2.19054,258,8,0,5,0
811302198024532920,41.3776527,2.1511774,276,32,0,1,0
811374826308420764,41.3951032,2.1431796,279,21,0,2,0
811559704769111799,41.38638690788083,2.184965334253192,431,33,0,19,0
811571750381814819,41.38643852000703,2.1851971927438005,421,32,0,19,0
811593881100238656,41.386430641764505,2.1843087968817576,453,38,0,19,1
802757391673405434,41.39935029185473,2.176562474383736,412,31,0,3,0
802763209613601754,41.40082418815621,2.1768658193511867,413,26,0,3,0
802768694773948291,41.38684,2.15656,561,80,0,6,0
802833903491588798,41.38549885726658,2.181792296469212,543,79,0,24,1
803062630811381078,41.38224563263096,2.1610423954184297,591,95,0,8,2
803075586016501285,41.38618939914812,2.155222725914981,522,67,0,5,0
803088105823634051,41.380101458293744,2.1573007041379784,445,53,0,4,1
803323272268384057,41.4013369,2.1751231,447,27,0,3,0
803330115478597930,41.40029420976181,2.1741665309419447,457,35,0,3,0
803340397316121063,41.37965636658495,2.173246556967425,625,125,0,22,3
803393140432518554,41.40377585637154,2.195743910898761,210,3,0,2,0
811659628297518683,41.3849768,2.1683091,711,149,0,23,2
811979050441718328,41.37987225943159,2.16885781272246,623,130,0,19,3
812034173494634229,41.39753552724871,2.1614784986698297,682,56,0,5,0
812145158064364334,41.37366724600754,2.1681209117211457,329,60,0,7,1
812236564304153703,41.41110482135754,2.1860203576721204,227,6,0,1,0
812246118240462269,41.41200570913393,2.184849483586586,242,9,0,1,0
812246347142021093,41.41161532305012,2.1871938848647203,199,5,0,1,0
803394345101283332,41.40195879654867,2.17443400886328,452,27,0,3,0
803477361689343237,41.4083961,2.1652479,378,11,0,2,0
803490474906212522,41.41273163901522,2.1421258246505457,55,6,0,0,0
803559564806794721,41.403061,2.165575,573,29,0,1,0
803560241734887152,41.381262,2.180102,595,92,0,24,1
803566589813324503,41.37476409021885,2.166579515257161,380,70,0,9,1
803854130406933945,41.43559979317321,2.191167108401023,26,1,0,1,0
803875157599392842,41.39072264352803,2.157036748618751,628,84,0,7,0
804248749923823916,41.37913017624354,2.1910066295254107,233,5,0,3,0
812802457291207253,41.40465,2.17191,473,20,0,2,0
812868090879318548,41.41160275657464,2.1847761571076307,248,9,0,1,0
812881221175838321,41.37151965010992,2.1445775992683376,155,15,0,1,0
812959360329830809,41.38631604906688,2.178255487316032,613,123,0,27,2
812967703430823743,41.3818839,2.172337,689,142,0,26,3
813100191219176858,41.41004275772293,2.1865809345304155,227,6,0,0,0
813418439949518205,41.3589179142463,2.134724181656099,72,3,0,0,0
813639105181727823,41.38933929417794,2.17257228202648,641,132,0,29,2
805006754730793205,41.3749377,2.147528,201,27,0,2,0
805024763354917112,41.4196145,2.2127655,12,1,0,0,0
805031156322954665,41.412083,2.218774,34,4,0,0,0
