id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
39814935,41.39161,2.18549,250,22,0,8,0
39817705,41.42367,2.15223,27,0,0,0,0
39820826,41.39823,2.17649,402,41,0,3,0
39821353,41.39785,2.17635,414,46,0,5,0
39243438,41.38143,2.1689,680,144,0,23,3
39246801,41.40279,2.14503,251,20,0,1,0
39249313,41.37357,2.1381,167,12,0,0,0
39265283,41.39175,2.1863,222,18,0,8,0
39272882,41.3845,2.17963,589,106,0,25,2
39277227,41.38197,2.16562,663,130,0,18,3
39285165,41.39617,2.17652,415,55,0,6,0
39291454,41.39581,2.17561,426,55,0,8,0
39828227,41.383308,2.181324,558,88,0,25,1
39832010,41.39607,2.17495,433,55,0,8,0
39834829,41.39734,2.177,397,44,0,5,0
39852429,41.39368,2.18004,346,47,0,10,0
39862403,41.38225,2.16205,604,104,0,10,3
39863843,41.39777,2.17803,381,34,0,4,0
39865509,41.39819,2.17817,373,29,0,3,0
39292715,41.39726,2.15459,622,57,0,3,0
39293278,41.39753,2.15409,593,54,0,2,0
39293637,41.39895,2.15405,571,51,0,1,0
39294024,41.39631,2.17515,434,54,0,8,0
39294058,41.38328,2.1719,731,153,0,28,3
39294359,41.38181,2.17203,682,141,0,26,3
39295326,41.37977,2.16607,583,120,0,16,3
39295485,41.39645,2.17511,433,54,0,8,0
39309139,41.39772,2.17517,446,51,0,6,0
39309235,41.38043,2.17925,595,95,0,25,1
39869964,41.40526,2.1758,425,19,0,2,0
39880908,41.39522,2.17348,464,71,0,9,0
39909653,41.38304,2.17892,609,105,0,27,2
39919028,41.41525,2.21538,37,3,0,0,0
39932543,41.41595,2.19242,84,3,0,1,0
39939948,41.38052,2.17815,592,98,0,27,2
39940188,41.39641,2.162,704,70,0,6,0
39944645,41.3945,2.18055,321,42,0,8,0
39310218,41.398,2.17519,437,47,0,6,0
39311263,41.39577,2.17641,416,53,0,6,0
39312427,41.39666,2.17704,410,51,0,6,0
39312994,41.39614,2.17554,429,54,0,7,0
39313759,41.39632,2.17528,433,54,0,8,0
39318755,41.41967,2.17665,82,2,0,1,0
39327731,41.38482,2.1678,702,149,0,23,3
39348891,41.40266,2.20701,135,6,0,2,0
39349081,41.37606,2.15839,353,39,0,3,1
39350261,41.39204,2.18645,214,17,0,9,0
39353324,41.39171,2.18523,256,24,0,9,0
39356120,41.38343,2.15881,569,80,0,8,1
39357046,41.38713,2.15562,539,76,0,6,0
39376301,41.40427,2.15115,368,16,0,1,0
39944955,41.37689,2.18921,230,13,0,3,0
39958055,41.39459,2.16991,541,89,0,9,1
39959246,41.40803,2.15116,253,11,0,1,0
39959257,41.40901038827501,2.153310454742816,242,9,0,1,0
39959265,41.40767241215919,2.1511103830424325,255,12,0,1,0
39959423,41.406810039274255,2.152443138898245,297,12,0,1,0
39959424,41.40870358791221,2.152600583120217,248,10,0,1,0
39960458,41.40863543656856,2.151165457445055,232,11,0,1,0
39376808,41.40475,2.14915,306,14,0,2,0
39377153,41.4062,2.15092,295,13,0,1,0
39377325,41.40492,2.15137,347,14,0,1,0
39378778,41.4053,2.21405,64,7,0,0,0
39381044,41.38505,2.16575,690,139,0,22,2
39381836,41.38361,2.16379,641,118,0,17,3
39382248,41.38227,2.1751,648,131,0,28,2
39404484,41.38461,2.13164,173,9,0,1,0
39460887,41.38911,2.15386,545,57,0,6,0
39462050,41.39674,2.16753,571,77,0,8,0
39480576,41.41365,2.22033,30,3,0,0,0
39962133,41.40261,2.15998,508,29,0,0,0
39963637,41.41852,2.17633,112,4,0,1,0
39967048,41.37147,2.16759,202,29,0,3,1
39970195,41.39741,2.17429,452,53,0,7,0
39997239,41.37796,2.17502,543,100,0,22,2
39999153,41.40589,2.17337,423,19,0,2,0
40000409,41.40549,2.17557,421,19,0,2,0
40001918,41.4058,2.17345,427,19,0,2,0
39494267,41.39974,2.15801,589,51,0,1,0
40002583,41.38522,2.17206,745,152,0,30,2
40019937,41.38948,2.1611,648,115,0,7,1
40022089,41.38854217529297,2.1603260040283203,627,110,0,8,1
40022142,41.38854217529297,2.1603260040283203,627,110,0,8,1
40025232,41.38263,2.13998,244,13,0,0,0
40026835,41.41443,2.16434,137,6,0,1,0
40026944,41.38162,2.18105,577,90,0,24,1
40045345,41.37418,2.16982,349,67,0,11,1
39515028,41.3897,2.18511,310,32,0,10,0
39515371,41.39039,2.1846,301,37,0,11,0
39515636,41.39175,2.18502,257,24,0,10,0
39516146,41.39014,2.18625,269,26,0,9,0
40045717,41.43121,2.16884,32,0,0,1,0
40046229,41.38837,2.1686,678,144,0,22,2
40048494,41.38735,2.17,698,149,0,27,2
40048783,41.41178,2.15939,175,5,0,1,0
40049637,41.38492,2.17807,616,125,0,27,2
40056381,41.40687,2.18633,277,8,0,2,0
40057879,41.38292,2.17906,606,103,0,27,2
40060236,41.3827,2.17836,619,108,0,27,2
40074869,41.39593,2.1756,431,55,0,8,0
40077906,41.39242,2.15479,616,63,0,7,0
39516335,41.38976,2.18475,317,35,0,10,0
40077922,41.40734,2.18019,379,18,0,2,0
40080983,41.40039,2.18332,304,17,0,3,0
40081784,41.40567,2.18251,367,18,0,3,0
40084447,41.40179,2.17143,504,28,0,2,0
40090804,41.40263,2.17267,484,26,0,2,0
40099562,41.40334,2.17085,513,23,0,2,0
39519845,41.375660185584735,2.1520325631142843,260,29,0,2,0
39547136,41.37336,2.1565,261,26,0,3,1
40575224,41.39816,2.20407,151,3,0,1,0
40575663,41.3825,2.18762,390,30,0,14,0
40577359,41.38144,2.17465,668,129,0,26,3
40578133,41.41673,2.19638,38,1,0,0,0
40585359,41.40394,2.2088,127,7,0,1,0
40588611,41.44288,2.17577,16,1,0,0,0
40099592,41.37629634162204,2.125141721292328,113,6,0,1,0
40100446,41.3965,2.17689,414,53,0,6,0
40102028,41.38094,2.1883,348,25,0,12,0
40103238,41.38252,2.18046,584,94,0,25,1
40103403,41.38829,2.17323,684,138,0,29,2
40113347,41.37213,2.13942,154,12,0,1,0
40115071,41.38163,2.16354,609,116,0,14,3
40116681,41.37864,2.1715,591,121,0,19,3
40130500,41.39258,2.17137,549,108,0,11,1
40590138,41.41186,2.16981,272,9,0,0,0
40603842,41.38039,2.17509,611,123,0,25,3
40603869,41.38098,2.17288,657,134,0,25,3
40603890,41.37986,2.17449,610,118,0,24,3
40617291,41.38527,2.16065,607,99,0,10,1
40634542,41.37692,2.1733,493,94,0,19,2
40635494,41.39471,2.1694,542,88,0,9,1
40637746,41.40245,2.16769,581,30,0,1,0
40645509,41.38801,2.17035,680,147,0,26,2
40654950,41.38367,2.16826,708,149,0,24,3
40663302,41.38586,2.14352,271,18,0,1,0
40665168,41.38017,2.16644,606,123,0,18,3
