id,latitude,longitude
13180954,50.08637,14.41885
13181016,50.08637,14.41885
13181043,50.08637,14.41885
13217443,50.084526,14.416456
13221779,50.0834,14.4548016
13254939,50.07212,14.42993
13255149,50.07363,14.43113
13255452,50.07274,14.43134
13255572,50.07229,14.42942
13255722,50.07243,14.42916
13255969,50.07213,14.43133
13270026,50.07185,14.54843
13272478,50.0877608,14.4046829
13275157,50.11163,14.38046
13286057,50.08408,14.44512
13287039,50.08409,14.44529
13287212,50.08599,14.44562
13289221,50.08439,14.44744
13289435,50.08593,14.4466
13289647,50.08527,14.44538
13302553,50.07753,14.4422
13305029,50.09292,14.45116
13305285,50.08044,14.40499
13307761,50.08571,14.41563
13308042,50.084442,14.416403
13310208,50.07772,14.44721
13331203,50.08838,14.32487
13340641,50.07884,14.42258
13345698,50.07114,14.34956
13353736,50.08402,14.45302
13356087,50.11086,14.39654
13360577,50.1335,14.44026
13370929,50.091675,14.420801
13383148,50.08389,14.42021
13387097,50.09063,14.42341
13393587,50.07065,14.41366
13405618,50.06756,14.43245
13409907,50.08575,14.41508
13421563,50.03872,14.42322
13421830,50.08444,14.4164
13422761,50.08444,14.4164
13434533,50.0805,14.41698
13455979,50.09275,14.45129
13456981,50.08697,14.44578
13456990,50.08697,14.44578
13457102,50.08697,14.44578
13457105,50.08697,14.44578
13457111,50.08697,14.44578
13458722,50.09275,14.45129
13465455,50.07654,14.42765
13482199,50.08564,14.45233
13482301,50.07084,14.43038
13482813,50.09114,14.48912
13490073,50.10146,14.4515
13492192,50.07072,14.43795
13538066,50.09275,14.45129
13547044,50.10327,14.44265
13553767,50.07594,14.42208
13553942,50.07659,14.42276
13557694,50.10335,14.58043
13591927,50.08208,14.45095
13600938,50.0865,14.4159
13602348,50.090547,14.4261143
13611089,50.12898,14.49347
13613789,50.09278,14.56471
13614104,50.10286,14.42277
13628957,50.07286,14.43142
13656209,50.08277,14.41924
13712983,50.10398,14.40424
13729587,50.09146,14.4475
13747122,50.08959,14.42311
13756783,50.07861,14.42299
13768194,50.06972,14.47085
13774542,50.07764,14.42745
13775781,50.07764,14.42745
13776074,50.07562,14.40254
13779427,50.10796,14.39342
13806438,50.0862,14.41981
13836667,50.08396,14.42005
13837805,50.07735,14.4278
13838517,50.08181,14.41742
13844577,50.08512,14.44749
13870098,50.0816,14.4517
13873242,50.0886,14.42432
13881059,50.08317,14.4163
13881282,50.08385,14.38016
13902879,50.08869,14.4234
13905712,50.0845,14.41385
13906016,50.08649,14.41876
13922591,50.04512,14.4183
13933164,50.08986,14.42563
13982823,50.08631,14.42076
14050170,50.0616,14.43719
14083944,50.06731,14.43518
14101230,50.07695,14.41594
14151314,50.02018,14.4091
14172447,50.07853,14.42707
14172981,50.0766,14.45451
14191673,50.08899,14.42034
14194223,50.08459,14.40679
14195387,50.08459,14.40679
14196348,50.08459,14.40679
14196410,50.08459,14.40679
14196646,50.08459,14.40679
14199775,50.08477020263672,14.429224014282228
14206979,50.08984,14.42717
14209594,50.08459,14.40679
14209727,50.08459,14.40679
14209926,50.08461,14.4066
14210004,50.08459,14.40679
14210170,50.08459,14.40679
14231510,50.09645,14.45304
14234684,50.07492446899414,14.359682083129885
14242839,50.09669,14.40599
14262549,50.07479,14.43138
14279491,50.08014,14.4479
14309748,50.08835,14.41854
14315011,50.07989,14.41823
14352902,50.07239,14.43441
14371861,50.09448,14.37887
14384756,50.09455,14.45975
14392635,50.08314,14.42074
14414408,50.0808,14.42822
14434014,50.06823,14.42158
14437792,50.067154,14.388945
14485049,50.07340304428314,14.415152821998516
14493815,50.07982,14.43466
14496461,50.088,14.42188
14527509,50.0377,14.56163
14557588,50.02249,14.35932
14557714,50.02162,14.35772
14563092,50.08616,14.4166
14577731,50.08618,14.43237
14584568,50.07617,14.42861
14600931,50.07764,14.42745
14601328,50.07764,14.42745
14604324,50.09151,14.47369
14611669,50.0805,14.41698
14646371,50.08942,14.42499
14661992,50.08001,14.42714
14662101,50.10202,14.43607
14663178,50.08594,14.38271
14677588,50.08027,14.42834
14689707,50.07984,14.43532
14699469,50.08715,14.38846
14717327,50.08715,14.38846
14717797,50.10362,14.47667
14720058,50.08884,14.4216
14721681,50.09872,14.43563
14739804,50.11175,14.45088
14740404,50.11175,14.45088
14745044,50.07714,14.41759
14788045,50.01397342690934,14.549049644153117
14799179,50.08894,14.38506
14812330,50.08697,14.44578
14814053,50.06839,14.44788
14822134,50.09609,14.39586
14830753,50.08493,14.41321
14831558,50.0876,14.39812
14831773,50.08755,14.41883
14834345,50.08108,14.41682
14834982,50.11053085327149,14.50416374206543
14850113,50.07554,14.36052
14854167,50.08032,14.40754
14876756,50.07454681396485,14.41468334197998
14891261,50.06244,14.43092
14898855,50.07634,14.41638
14922531,49.95568,14.38086
14965661,50.0941,14.4569
14975005,50.066929,14.419564
14980499,50.09178,14.44172
14989739,50.07472,14.42939
15011614,50.08777,14.42437
15014596,50.09178,14.44172
15031797,50.09395,14.45747
15061921,50.05516,14.43524
15079214,50.06414,14.45196
15096583,50.0789377024899,14.434308212497116
15103188,50.08468,14.41732
15110499,50.08137,14.44878
15112680,50.0921554,14.4820617
15113705,50.0973,14.39621
15128376,50.07179,14.44885
15128945,50.07645,14.42554
15137611,50.08828,14.42457
15138083,50.08772,14.45486
15153136,50.1194,14.49591
15155533,50.08715,14.38846
15158288,50.0666399,14.4202976
15171124,50.08596,14.42258
15171500,50.08647,14.41862
15172463,50.0868,14.41614
15183195,50.08715,14.38846
15245150,50.10607,14.48304
15255060,50.106014,14.471701
15258862,50.08253,14.41831
15262754,50.06661,14.40669
15265825,50.0319,14.44813
15280071,50.07077,14.43148
15283770,50.06811,14.4342
15290826,50.06988,14.43455
15331637,50.05918,14.42674
15334845,50.0588,14.43518
15354551,50.07567,14.42909
15390165,50.07716,14.42176
15393716,50.08807,14.4318
15417158,50.09173,14.42405
15441827,50.07747,14.42591
15446191,50.08921,14.44144
15447400,50.08919,14.44033
15472961,50.1005,14.42669
15505133,50.03485,14.5321
15538649,50.06546,14.38244
15543077,50.07361,14.44327
15547557,50.14258,14.47669
15550188,50.07073,14.45151
15558404,50.09153,14.44161
15576346,50.10329,14.49594
15580987,50.07141,14.43423
15596018,50.08139,14.45842
15625984,50.08605,14.41844
15644692,50.10222,14.4528
