id,restaurant_count,hotel_count,museum_count,shopping_center_count
725009,409,71,8,1
728480,508,46,3,0
729078,513,99,19,2
731049,142,3,0,0
737759,497,78,10,0
739557,490,30,2,0
888988,355,28,2,0
889491,178,3,2,0
889575,64,0,1,0
892906,505,89,9,1
740113,464,79,7,1
742156,126,14,1,0
742241,115,10,1,0
743612,109,5,1,0
744153,435,46,3,0
745220,128,10,1,0
745275,94,8,1,0
746086,154,6,0,0
748693,625,130,19,3
750066,453,77,6,1
892922,667,142,22,2
892927,687,150,24,2
892943,691,150,23,2
892949,418,62,15,0
893052,627,54,3,0
893399,129,4,2,0
894483,286,10,0,0
894512,235,5,3,0
895091,578,77,7,0
753322,590,51,2,0
756588,654,141,22,3
757149,605,82,7,0
759351,192,24,1,0
759769,534,26,2,0
760981,315,21,9,0
764452,193,5,2,0
767596,338,10,1,0
896367,401,35,3,0
900045,171,10,4,0
902403,629,132,26,2
903135,284,17,2,0
904862,649,131,24,3
906559,389,51,14,0
912414,216,24,1,0
770175,375,17,1,0
771440,379,20,3,0
772098,410,70,16,2
773886,384,8,1,0
775644,354,37,0,0
775794,149,5,1,0
776038,488,25,0,0
915823,657,126,10,1
916232,675,120,7,1
917308,669,120,8,1
918481,651,134,24,2
919483,272,46,6,1
922906,272,46,6,1
922907,272,46,6,1
776174,596,92,24,1
777476,620,107,10,1
777587,317,32,3,1
790404,481,27,0,0
790475,611,52,2,0
791717,152,5,2,0
799240,431,84,10,1
925557,583,28,2,0
928725,552,91,25,1
929663,272,46,6,1
931437,508,76,5,1
931756,515,84,6,2
933094,130,7,2,0
800045,157,9,2,0
801237,350,15,1,0
804268,158,5,2,0
811918,62,7,1,0
813031,355,56,6,1
814172,135,6,2,0
814177,135,6,2,0
934979,439,30,3,0
936734,272,28,4,1
936781,217,6,1,0
936850,357,15,1,0
814202,135,6,2,0
814226,135,6,2,0
820497,335,25,2,0
821100,450,81,7,1
821523,423,21,2,0
823272,695,90,6,0
824902,342,14,1,0
826397,102,9,1,0
936900,138,13,1,0
937331,670,61,6,0
937657,143,9,1,0
938006,172,9,2,0
939692,180,2,2,0
939792,411,27,2,0
940338,633,134,24,2
940374,178,4,1,0
942410,207,6,2,0
827250,508,23,2,0
832755,194,2,2,0
839655,447,81,7,1
840123,63,6,1,0
842126,452,13,1,0
842389,182,10,2,0
846423,449,14,1,0
847195,496,57,3,0
945007,481,20,2,0
945564,684,142,19,2
946122,121,6,2,0
947269,424,38,0,0
849035,430,69,16,0
852134,351,38,2,1
1047089,486,31,0,0
1060614,229,18,4,0
1061343,89,4,0,0
1064956,108,6,1,0
1067338,307,33,2,1
1068523,546,109,25,2
1068919,691,58,4,0
948689,596,94,24,1
951364,584,53,5,0
954380,647,132,17,3
956256,210,26,2,0
956768,474,36,2,0
957402,135,18,2,0
957657,301,49,5,1
1069572,598,47,4,0
1070322,258,10,1,0
1071740,161,9,0,0
1073748,6,0,0,0
1074936,493,84,15,1
1075855,410,13,2,0
1077851,26,1,0,0
1078049,591,92,9,1
958946,506,78,6,1
959089,277,15,2,0
959880,600,116,25,3
961548,386,17,1,0
1079887,360,26,1,0
1082656,467,52,6,0
1084712,87,9,2,0
1085376,279,32,6,0
1091090,590,41,1,0
1092780,575,48,1,0
1094548,333,10,1,0
1094604,144,4,2,0
1098571,608,122,25,3
963289,307,33,0,0
963533,617,111,12,2
965681,617,113,12,2
965712,581,95,9,2
965733,598,97,9,1
966895,661,140,27,2
967346,617,118,15,3
968489,325,22,11,0
973013,350,15,1,0
976595,669,109,8,1
1098894,643,99,6,1
1100121,509,38,1,0
1100506,172,10,4,0
1102498,606,44,4,0
1102747,415,57,9,0
1102856,75,2,1,0
1106433,445,71,19,1
1109989,426,79,10,1
977631,547,54,4,0
1111412,106,9,1,0
1111418,525,49,1,0
1112838,261,27,3,1
1114170,388,21,1,0
1119598,470,21,2,0
1125212,507,46,3,0
1129827,509,90,19,2
977745,211,14,1,0
978990,746,156,29,3
979073,517,24,1,0
982492,626,66,7,0
982915,541,23,1,0
984985,536,46,1,0
986015,582,51,1,0
986101,270,55,4,1
1136384,623,94,7,1
1139069,174,9,1,0
1139791,191,10,1,0
1139849,102,7,3,0
1140144,322,13,3,0
1145940,478,18,1,0
1147333,512,80,11,0
1149191,72,7,0,0
986639,563,87,21,1
986692,515,18,1,0
986867,393,33,2,0
988755,393,33,2,0
1150062,70,7,0,0
1150128,47,6,0,0
1154761,599,96,9,1
1161417,546,28,1,0
1164746,373,24,2,0
1165432,667,58,4,0
1169088,306,30,2,1
1169142,537,87,10,0
988917,264,27,0,0
996713,496,60,4,1
1000720,107,5,1,0
1001959,3,0,0,0
1169191,478,21,2,0
1186442,442,74,6,1
1186506,442,74,6,1
1186521,442,74,6,1
1186539,442,74,6,1
1186559,442,74,6,1
1190491,594,39,2,0
1193162,603,100,9,1
1193842,184,17,3,1
1002233,237,46,3,1
1002372,118,5,1,0
1197169,109,11,1,0
1197458,187,2,2,0
1198074,525,102,19,2
1199380,669,109,7,1
1199382,524,86,10,0
1199594,737,152,31,2
1201871,357,26,2,0
1202829,191,3,2,0
1007939,433,19,1,0
1008717,630,121,9,1
1204161,381,19,1,0
1206052,364,17,1,0
1206820,123,8,1,0
1207330,393,33,2,0
1207407,524,72,8,0
1207452,392,33,2,0
1207471,94,7,1,0
1211274,653,94,8,1
1011083,248,36,3,1
1018647,81,5,1,0
1020452,144,13,1,0
1211499,533,78,5,2
1213201,585,119,23,2
1215049,367,14,1,0
1215451,610,102,10,1
1216365,559,106,22,2
1216600,336,36,0,0
1218515,614,119,27,2
1218609,422,32,18,0
1025707,409,20,3,0
1029587,142,7,2,0
1034761,143,2,1,0
1034771,704,150,24,3
1039162,438,14,1,0
1218611,442,74,6,1
1218618,442,74,6,1
1218626,442,74,6,1
1225103,545,64,6,0
1229996,475,21,0,0
1230464,426,44,1,0
1234006,377,38,2,1
1235805,562,48,1,0
1240055,148,4,1,0
1241068,291,38,11,0
1039211,152,6,2,0
1041060,655,49,3,0
1044130,89,9,1,0
1295958,228,13,3,0
1296121,242,17,2,0
1241225,617,125,27,2
1242215,593,43,2,0
1242470,269,25,9,0
1242745,278,27,6,0
1249641,361,68,15,1
1254174,661,140,27,2
1255085,527,80,10,0
1305640,84,5,0,0
1307332,425,24,3,0
1310443,256,7,0,0
1312051,242,4,1,0
1314537,344,38,1,0
1258555,303,28,4,0
1260018,155,6,0,0
1261435,185,19,1,0
1266069,131,7,1,0
1266363,532,69,5,0
1266491,545,79,9,0
1269238,410,13,1,0
1272804,286,24,3,0
1274139,533,79,24,1
1314672,347,7,1,0
1320149,562,38,1,0
1327003,302,40,5,1
1328996,568,74,8,0
1329067,673,58,3,0
1329829,452,89,8,1
1329993,673,58,3,0
1276036,554,36,1,0
1282669,409,21,2,0
1284165,278,12,1,0
1290278,345,37,1,0
1291971,362,16,1,0
1293412,146,3,1,0
1294410,84,3,0,0
1620407,333,28,0,0
1330203,646,125,17,3
1330353,673,58,3,0
1331475,325,22,3,0
1331957,156,6,0,0
1620515,541,106,11,1
1624014,435,38,0,0
1630947,694,58,4,0
1635995,165,11,0,0
1642382,158,9,0,0
1642736,221,14,1,0
1647351,669,128,9,1
1648547,173,5,2,0
1332929,250,36,3,1
1337978,673,58,3,0
1338049,673,58,3,0
1338105,406,12,1,0
1338121,673,58,3,0
1659522,165,16,1,0
1661060,529,71,5,0
1667342,223,16,2,0
1670427,659,137,28,2
1672204,632,90,7,0
1677706,467,21,2,0
1678347,578,29,1,0
1681925,251,9,1,0
1682223,398,20,3,0
1338956,204,14,1,0
1343256,424,22,3,0
1344702,517,64,4,0
1691556,589,95,9,2
1695711,513,88,9,1
1702721,447,17,2,0
1711952,472,71,23,1
1720065,459,29,2,0
1720909,448,72,8,0
1721486,24,1,1,0
1727835,605,107,10,3
1728329,350,46,12,0
1354875,532,36,0,0
1356472,256,16,0,0
1359821,451,13,1,0
1365897,490,44,3,0
1383728,694,61,6,0
1385618,389,56,8,0
1387806,223,35,3,1
1391124,373,24,2,0
1392132,368,16,1,0
1395001,245,37,3,1
1395698,90,3,0,0
1396721,673,105,7,1
1397560,202,2,2,0
1397748,673,105,7,1
1735838,276,6,1,0
1735947,589,51,1,0
1737505,181,2,1,0
1738660,612,51,3,0
1739507,173,10,1,0
1744379,400,20,2,0
1749928,345,14,3,0
1756975,36,1,0,0
1401163,568,45,1,0
1402772,575,114,23,2
1761119,265,36,3,1
1776811,141,12,1,0
1790446,158,2,1,0
1800198,662,131,19,2
1808631,686,149,28,2
1808891,704,146,30,2
1810923,54,1,0,0
1406069,557,113,24,2
1406121,414,14,1,0
1406337,507,45,3,0
1407575,34,3,0,0
1410802,13,0,1,0
1411945,526,21,1,0
1814378,415,18,2,0
1819306,267,33,8,0
1821064,195,19,0,0
1821184,192,3,1,0
1823712,578,117,23,2
1823916,589,119,23,2
1823987,523,95,20,2
1825397,259,15,1,0
1416452,28,3,1,0
1418423,451,53,3,1
1418456,596,104,10,3
1826858,617,105,7,1
1830012,507,87,20,2
1830227,28,3,1,0
1830917,526,71,8,0
1831778,568,68,6,0
1834026,199,19,0,0
1838530,524,67,22,1
1839552,583,87,8,0
1424841,203,14,1,0
1426674,182,15,0,0
1853214,132,5,1,0
1858192,290,5,1,0
1867951,471,30,2,0
1868652,152,12,1,0
1882669,87,4,2,0
1882719,672,119,8,1
1882976,723,151,25,2
1888498,402,16,1,0
1889121,674,61,4,0
1429236,310,33,0,0
1899692,497,34,0,0
1899976,400,14,1,0
1900055,544,32,3,0
1903974,348,37,1,0
1904671,183,9,2,0
1908257,634,122,11,1
1911214,673,86,7,0
1429809,380,39,2,1
1431437,178,5,2,0
1431478,182,2,2,0
1435370,43,5,1,0
1436676,578,30,1,0
1440247,507,45,3,0
1446649,683,131,15,2
1912837,229,28,1,0
1912881,666,127,10,1
1915617,361,16,1,0
1915882,668,145,23,2
1916455,681,77,6,0
1920941,229,13,1,0
1921353,651,119,18,3
1447244,594,54,2,0
1448933,408,19,3,0
1451882,25,3,0,0
1454173,585,98,10,2
1457218,667,123,8,1
1458113,485,95,15,2
1458524,403,20,2,0
1926867,76,2,0,0
1933025,319,11,1,0
1933923,541,27,2,0
1938408,288,15,1,0
1938831,639,56,3,0
1940776,116,6,3,0
1947779,339,10,1,0
1951405,561,50,1,0
1957157,672,119,9,1
1459831,554,26,1,0
1460329,169,9,0,0
1471893,182,8,1,0
1958839,380,52,12,0
1966739,202,12,1,0
1968717,608,51,2,0
1978060,173,17,1,0
1978145,585,78,8,0
1986164,208,19,1,0
1986412,285,43,5,1
1987048,575,114,23,2
1472974,520,78,10,0
1474088,375,18,2,0
1996319,186,9,1,0
1999268,616,124,27,2
2005972,217,14,1,0
2019710,29,1,1,0
2020743,84,7,1,0
2029502,469,57,21,1
2029507,643,129,28,2
1474914,389,14,1,0
1474989,477,42,1,0
1477381,155,4,0,0
1478299,165,7,0,0
1480728,101,3,0,0
1481054,328,11,2,0
2031134,277,15,3,0
2034675,694,141,29,2
2036662,574,84,8,1
2045063,654,126,13,2
2052300,136,6,2,0
2054024,398,12,1,0
2054538,220,5,1,0
2058080,442,27,1,0
1481221,184,11,0,0
1482060,645,128,28,2
2059446,380,58,6,1
2059628,530,74,22,1
2065950,596,77,7,0
2068875,242,37,3,1
2069105,231,9,3,0
2070094,405,64,6,1
2073044,416,72,7,1
1490933,510,95,19,2
1493025,191,6,1,0
1497324,373,24,2,0
1505365,562,28,1,0
2077178,148,5,2,0
2077957,590,56,5,0
2078332,452,14,1,0
2082868,445,19,2,0
2087178,72,6,2,0
2091953,302,33,1,0
2096374,400,18,2,0
1505984,182,9,1,0
1506324,348,12,1,0
1520042,242,7,3,0
2097376,95,7,1,0
2099068,634,136,27,2
2099757,635,113,9,1
2107982,331,63,7,1
2111196,449,52,7,0
2114892,172,5,2,0
2120231,638,133,27,2
2122261,622,124,20,2
2131287,346,60,6,1
1522578,660,138,27,2
1523790,426,19,2,0
1523802,485,83,11,0
1524083,398,14,1,0
1524619,154,3,1,0
1524681,525,102,19,2
1527831,525,102,19,2
1529855,357,16,1,0
1530586,365,11,1,0
2131496,599,124,26,2
2148858,450,51,7,0
2152440,613,51,3,0
2167544,687,71,7,0
2170203,220,22,2,0
2177176,689,152,24,2
2180003,251,28,3,1
2184062,605,86,7,0
2186401,431,12,1,0
1531051,16,0,0,0
1540924,670,102,7,0
1554416,246,14,4,0
1560631,382,55,9,0
1563402,98,5,0,0
2187751,383,55,10,0
2199431,326,44,10,0
2202380,246,11,4,0
2204820,637,108,9,1
2207843,536,69,7,2
2219606,476,24,2,0
2220119,361,28,1,0
2224719,668,145,23,2
1563823,379,20,3,0
1569123,364,41,5,1
1579898,355,14,1,0
1580396,373,17,1,0
1580437,330,12,1,0
1580504,372,17,1,0
1580522,328,12,1,0
2228023,42,4,1,0
2237750,397,15,1,0
2245593,414,14,1,0
2248576,463,31,2,0
2255946,135,6,1,0
2256064,747,155,29,2
2258125,427,23,3,0
1580586,350,14,1,0
1580624,368,17,1,0
1583837,559,73,8,1
1587109,85,3,0,0
2263681,137,13,1,0
2265321,626,120,14,2
2268067,556,72,8,0
2282469,235,26,3,1
2288221,463,92,9,1
2292917,587,117,15,2
2293777,616,95,7,1
1594768,203,4,2,0
1604559,276,37,5,1
2306489,273,27,3,1
2307398,431,34,18,0
2307557,658,142,23,2
2307905,270,27,3,1
2308139,669,131,18,2
2311660,196,17,6,0
2313602,484,101,9,2
2319608,369,25,3,0
1607133,443,20,1,0
1608746,539,65,4,0
2324304,661,49,3,0
2327444,413,16,1,0
2329405,284,60,6,1
2333994,460,94,12,2
2342332,415,19,2,0
2343336,135,6,1,0
2348604,163,12,5,0
1612980,646,118,9,1
1613942,682,109,7,1
1614109,674,119,8,1
1616453,239,29,3,1
2568864,545,100,9,1
2576955,194,23,3,1
2577644,185,15,0,0
2585698,464,75,9,0
2351233,683,145,27,2
2355423,494,25,2,0
2362929,645,51,3,0
2368976,171,4,2,0
2369067,222,27,1,0
2373057,494,56,3,0
2376434,38,0,1,0
2376967,98,4,1,0
2588674,384,69,9,1
2592904,560,38,1,0
2599849,158,12,1,0
2600907,633,72,7,0
2609446,237,28,3,1
2377543,165,23,2,0
2379004,479,36,2,0
2382152,276,23,2,0
2391858,112,13,0,0
2394424,552,81,7,0
2396459,108,5,1,0
2401795,153,6,0,0
2402365,645,138,27,2
2411106,520,67,6,1
2610473,612,128,19,3
2614577,681,144,22,3
2623120,176,11,2,0
2624310,592,107,10,3
2626169,290,22,2,0
2626530,582,95,10,3
2634227,17,1,1,0
2412835,462,40,2,0
2417803,480,21,2,0
2424905,649,132,23,3
2428246,396,44,5,0
2438814,385,18,2,0
2439285,508,46,3,0
2439919,406,66,6,1
2643611,201,2,2,0
2650947,104,3,1,0
2664990,114,7,1,0
2669219,489,45,2,0
2670047,312,33,3,1
2443008,143,2,1,0
2451930,241,17,2,0
2453031,160,11,1,0
2456837,137,12,1,0
2457914,672,106,7,1
2464488,322,10,1,0
2464498,152,16,1,0
2464761,626,98,7,1
2469678,499,55,3,0
2469747,577,120,15,3
2685897,690,139,22,2
2689106,304,12,1,0
2698602,533,101,22,2
2473377,544,35,2,0
2479915,526,112,15,3
2490660,380,14,1,0
2491989,384,60,6,1
2492876,422,22,3,0
2493382,336,46,11,0
2494484,152,2,1,0
2498424,422,21,3,0
2704481,546,95,21,2
2722884,107,4,2,0
2505126,286,35,8,0
2506445,179,10,1,0
2507802,420,68,6,1
2509265,314,33,0,0
2510966,329,12,1,0
2512546,639,113,9,1
2519401,314,33,0,0
2725917,594,79,7,0
2726925,649,60,6,0
2727935,336,63,11,1
2729680,460,38,2,0
2732115,377,14,1,0
2528991,183,8,1,0
2534835,674,108,6,1
2536121,158,2,1,0
2536314,564,112,25,2
2538360,159,9,0,0
2542510,617,90,8,0
2552286,171,5,1,0
2555964,691,60,6,0
2736626,660,110,8,1
2741544,523,96,20,2
2741837,611,53,2,0
2742376,533,101,22,2
2556150,629,49,3,0
2557934,247,26,3,1
2563231,506,39,0,0
3097541,634,121,12,2
3097665,599,96,9,1
3099145,675,127,14,2
3109814,537,52,1,0
3110029,546,107,11,2
2743539,148,6,2,0
2743922,618,121,15,2
2744359,604,121,17,2
2744849,659,110,8,1
2753314,38,0,0,0
2755738,490,78,6,1
2758050,566,48,1,0
2760787,186,2,2,0
3110443,549,108,13,2
3110723,544,106,11,2
3117453,526,71,6,0
3118841,212,21,3,1
3126493,678,124,11,1
3127809,147,6,1,0
3131114,493,25,2,0
2761639,185,2,2,0
2761939,30,1,1,0
2762205,498,23,1,0
2775642,583,118,23,2
2776901,700,151,24,2
2779738,603,41,4,0
3142094,275,6,2,0
3144104,291,34,3,1
3161722,415,18,2,0
3162501,236,7,4,0
3163248,585,119,23,2
3163251,412,18,2,0
3167271,405,16,2,0
2781640,601,41,2,0
3170121,412,18,2,0
3172290,513,90,9,1
3172525,591,112,11,2
3172654,554,108,9,1
3172803,678,138,29,2
3173002,553,107,11,1
3173095,534,93,9,1
2786688,593,107,10,3
2788377,118,6,2,0
3174089,461,14,1,0
3180085,555,109,11,2
3180157,552,108,11,2
3184195,55,5,1,0
3187818,469,41,3,0
3188342,531,76,24,1
3189106,298,7,1,0
3189694,279,41,5,1
2788720,448,25,2,0
2791159,632,119,11,1
2804502,169,12,0,0
2807247,67,5,2,0
3202494,119,15,2,0
3202973,197,4,1,0
3212167,271,37,5,1
3212697,625,134,19,3
3218014,108,7,2,0
3218456,256,29,2,0
3219190,628,114,9,1
3221997,344,59,7,1
2809378,191,8,3,0
2814997,629,47,3,0
2822232,207,14,1,0
2824043,39,6,1,0
2828143,238,6,4,0
3228173,448,78,7,1
3228260,78,2,0,0
3232397,658,61,6,0
3235517,432,30,2,0
3236923,465,46,18,0
3242608,458,52,6,0
2830712,689,83,6,0
2843976,447,46,4,0
2860194,614,126,29,2
2860231,264,7,0,0
2865558,563,47,1,0
2868278,241,35,3,1
2877579,306,10,1,0
2884805,152,18,2,0
3243398,322,51,5,1
3246212,17,0,0,0
3250179,566,108,9,3
3255204,508,33,0,0
3255276,367,42,5,1
3257033,675,86,7,0
3259447,315,23,8,0
3261417,266,26,3,1
2885126,584,121,14,3
2896610,644,66,5,0
2910491,336,56,6,1
3261538,681,85,7,0
3271898,127,16,2,0
3275071,427,17,2,0
3277794,272,32,1,0
3281680,432,25,3,0
3281769,463,75,11,0
3285382,600,102,10,1
3286722,444,43,3,0
2911237,688,66,6,0
2926905,613,67,7,0
2930798,342,20,10,0
2932168,169,19,2,0
2933557,694,71,7,0
2934212,79,9,2,0
2948832,33,3,0,0
3290143,277,5,1,0
3292049,561,42,1,0
3292332,197,5,2,0
3296173,530,30,2,0
3314434,579,101,23,3
3318625,25,1,1,0
3326883,86,9,2,0
3328222,422,19,2,0
3333452,211,4,1,0
2951974,527,26,2,0
2952788,626,79,7,0
2956776,157,9,4,0
2975838,621,92,7,1
2976117,293,37,8,0
2978330,567,50,1,0
2981721,562,55,2,0
3338321,271,5,1,0
3340494,576,31,1,0
3342599,239,20,0,0
3345875,376,68,9,1
3346588,609,54,3,0
3349453,507,45,3,0
3349529,216,5,2,0
3350180,276,37,5,1
3350190,530,67,5,0
2984409,214,5,2,0
2984892,716,69,7,0
2987539,607,67,7,0
2991893,393,67,7,1
2992138,330,46,5,1
3355596,742,157,28,3
3358168,37,1,0,0
3362664,198,12,1,0
3370188,540,92,8,2
3374070,48,5,1,0
3374176,583,87,7,2
3376510,157,19,2,0
3376885,339,26,2,0
2996993,520,102,18,2
3000013,642,57,3,0
3000464,633,121,14,2
3000888,210,2,2,0
3007161,249,38,3,1
3376932,18,1,1,0
3381495,506,39,2,0
3385725,435,19,2,0
3388218,251,30,2,0
3389920,307,50,6,1
3392299,103,5,0,0
3393502,451,51,7,0
3393839,436,53,7,0
3007327,93,5,0,0
3008815,155,6,2,0
3011495,25,2,0,0
3400569,125,5,1,0
3404528,606,111,14,3
3419405,488,25,2,0
3420035,513,97,20,2
3427801,502,31,0,0
3430458,432,15,1,0
3431107,525,94,22,2
3431564,314,12,2,0
3016050,640,59,4,0
3019185,374,10,1,0
3432115,544,47,0,0
3436535,713,150,24,3
3444281,308,28,0,0
3445276,622,128,26,3
3446011,679,140,26,3
3451150,157,5,2,0
3454239,154,18,2,0
3455148,582,108,25,2
3455823,432,24,3,0
3020664,51,7,0,0
3025649,345,10,1,0
3027670,488,40,2,0
3028211,430,24,1,0
3029771,693,148,23,2
3457072,218,16,2,0
3473374,566,112,19,3
3474270,152,22,2,0
3475121,124,15,2,0
3480503,371,37,2,1
3481102,508,99,14,1
3481808,423,24,3,0
3484819,658,127,12,1
3030563,108,4,0,0
3036626,692,145,30,2
3040073,97,4,1,0
3041431,603,102,10,3
3045137,650,133,28,2
3485918,636,111,9,1
3486077,503,82,11,0
3487140,450,77,14,1
3491072,303,35,0,0
3491453,370,14,1,0
3495408,495,25,2,0
3496538,175,10,1,0
3496888,232,20,5,0
3046491,594,96,10,3
3059513,687,74,6,0
3081744,17,0,0,0
3082152,288,23,2,0
3082703,322,47,5,1
3089510,555,42,1,0
3498972,586,109,21,3
3501634,402,11,1,0
3502018,709,149,28,2
3503343,168,8,0,0
3505203,206,17,9,0
3507362,51,1,1,0
3508191,51,0,1,0
3512999,319,58,7,1
3515542,193,18,3,1
3092259,370,18,2,0
3097242,619,107,10,1
3097333,610,103,10,1
