id,dist_to_sagrada_familia_km,dist_to_casa_mila_km,dist_to_casa_batllo_km,dist_to_parc_guell_km,dist_to_la_rambla_km,dist_to_montjuic_km
18674,0.26,1.45,1.67,1.94,2.64,4.97
23197,3.91,5.19,5.12,5.6,5.21,7.83
32711,0.42,1.34,1.61,1.76,2.66,4.91
34241,2.56,1.97,1.5,4.21,0.26,2.69
34981,2.65,2.1,1.63,4.33,0.38,2.69
36463,2.13,1.96,1.54,4.03,0.81,3.4
36763,2.92,2.93,2.51,4.95,1.55,3.74
40983,0.96,0.55,0.59,2.41,1.65,3.88
41952,0.47,1.31,1.6,1.71,2.67,4.89
49968,0.42,1.35,1.62,1.75,2.66,4.92
58512,1.06,2.44,2.6,2.46,3.37,5.85
331026,3.1,1.94,1.59,4.11,1.15,1.71
335861,2.48,3.64,3.53,4.46,3.58,6.2
337755,2.0,2.63,2.37,4.17,2.1,4.7
341563,4.33,2.96,3.02,3.99,3.48,2.77
343858,0.96,0.72,1.12,1.67,2.35,4.34
343861,0.86,0.59,0.92,1.93,2.1,4.19
343864,1.36,1.36,1.81,0.95,3.06,4.9
68547,2.57,2.11,1.65,4.32,0.47,2.86
71520,3.82,3.52,3.98,1.69,5.23,6.3
71553,0.73,1.08,1.01,2.67,1.71,4.17
71736,2.52,1.56,1.12,3.82,0.49,2.35
343866,1.56,1.1,1.57,1.19,2.84,4.5
343972,4.16,2.86,2.62,4.76,2.33,0.98
345129,2.07,1.38,0.91,3.62,0.38,2.87
346018,1.7,2.21,1.93,3.85,1.74,4.37
347824,3.33,3.21,2.76,5.31,1.66,3.54
351395,1.29,1.52,1.24,3.31,1.36,3.97
352772,3.1,1.74,1.58,3.63,1.78,2.03
353640,2.3,2.23,1.81,4.27,1.01,3.51
72436,2.79,3.81,3.63,4.87,3.48,6.06
72793,2.61,1.62,1.19,3.87,0.58,2.24
72794,2.49,1.5,1.07,3.76,0.57,2.35
73683,0.41,1.33,1.6,1.77,2.65,4.9
75411,1.07,2.42,2.46,2.94,3.02,5.59
80004,3.38,2.44,2.01,4.69,1.01,1.67
357576,1.63,1.23,1.71,1.06,2.98,4.62
359841,2.81,4.0,3.89,4.73,3.93,6.55
360863,2.79,3.08,2.7,4.92,1.96,4.3
363601,2.67,1.98,1.51,4.24,0.25,2.49
364030,3.27,2.2,1.81,4.41,1.08,1.58
365911,3.23,1.93,1.69,3.94,1.61,1.73
370665,2.1,1.95,1.52,4.01,0.83,3.43
83283,2.6,1.44,1.08,3.65,0.92,2.23
89756,2.84,1.91,1.47,4.17,0.56,2.09
89776,1.3,1.39,1.1,3.26,1.25,3.85
373667,2.52,2.23,1.77,4.38,0.73,3.13
377161,2.74,2.85,3.31,0.59,4.58,6.16
384063,0.82,1.22,1.09,2.82,1.65,4.17
384155,2.27,2.12,1.7,4.19,0.88,3.41
384464,1.57,0.89,0.45,3.08,0.93,3.27
385049,2.52,2.34,1.9,4.44,0.93,3.33
95719,2.12,1.89,1.45,3.99,0.7,3.31
97529,0.9,1.54,1.9,1.28,3.05,5.16
110041,0.67,0.91,1.23,1.74,2.38,4.51
112538,0.33,1.64,1.84,2.03,2.76,5.13
117010,0.32,1.63,1.83,2.03,2.75,5.12
118228,0.33,1.64,1.84,2.03,2.76,5.13
128463,4.76,3.38,3.25,4.96,3.2,1.57
135513,2.57,3.55,3.36,4.68,3.2,5.78
136670,4.69,3.42,3.6,3.88,4.27,3.73
393717,2.78,1.78,1.36,4.04,0.62,2.1
399772,3.07,1.7,1.57,3.54,1.84,2.13
402369,2.6,2.15,1.68,4.35,0.5,2.86
408599,3.57,2.41,2.07,4.56,1.47,1.24
417239,1.46,1.07,1.53,1.21,2.8,4.52
424137,2.65,2.03,1.56,4.28,0.29,2.59
424294,1.74,1.65,1.26,3.66,0.93,3.57
138055,0.33,1.64,1.84,2.03,2.76,5.13
144471,2.75,1.52,1.21,3.66,1.16,2.1
147275,2.2,3.3,3.62,2.1,4.63,6.91
153376,1.85,1.54,1.12,3.65,0.69,3.32
425639,2.47,2.01,2.48,0.88,3.74,5.04
432482,1.74,0.43,0.3,2.66,1.42,3.19
438102,0.82,1.64,1.54,2.98,1.97,4.55
439057,1.43,0.62,1.09,1.67,2.36,4.08
443110,2.54,1.15,1.14,2.96,1.82,2.7
443222,0.72,1.99,2.22,1.97,3.14,5.51
443909,2.93,2.34,1.87,4.59,0.6,2.54
449999,1.58,1.34,0.95,3.39,0.9,3.49
154437,2.34,0.98,1.16,2.5,2.12,3.16
162091,0.31,1.62,1.82,2.03,2.74,5.11
171646,1.02,2.37,2.42,2.9,2.99,5.56
171816,0.99,2.35,2.4,2.87,2.99,5.55
451758,2.55,1.6,1.16,3.87,0.47,2.33
456333,0.49,1.26,1.26,2.57,1.98,4.45
462062,3.37,2.05,1.83,4.0,1.77,1.66
469157,2.59,2.14,1.67,4.34,0.5,2.87
469177,3.4,2.26,1.9,4.43,1.28,1.43
469710,0.95,0.59,0.59,2.45,1.62,3.87
472062,1.28,0.34,0.8,1.93,2.07,3.92
473395,1.87,0.84,1.27,1.76,2.49,3.9
174382,0.33,1.63,1.83,2.03,2.76,5.12
188267,1.24,1.29,1.01,3.17,1.25,3.83
190348,4.48,3.2,3.39,3.69,4.09,3.65
473459,1.87,0.87,1.3,1.72,2.53,3.94
477256,1.86,3.01,2.91,3.9,3.06,5.7
480975,3.56,2.58,2.16,4.82,1.2,1.49
481739,1.02,0.38,0.67,2.12,1.88,3.95
482801,4.86,3.47,3.4,4.87,3.49,2.0
485222,4.79,3.41,3.43,4.54,3.73,2.58
487233,3.55,2.56,2.14,4.8,1.2,1.48
490517,0.44,1.12,1.4,1.81,2.47,4.69
490803,0.24,1.21,1.42,2.0,2.41,4.72
196021,2.02,0.77,0.48,2.98,1.2,2.86
196196,0.33,1.64,1.84,2.03,2.76,5.13
493122,1.67,2.79,2.68,3.75,2.85,5.49
494834,0.82,1.77,2.09,1.5,3.16,5.38
498416,2.24,1.54,1.06,3.78,0.21,2.74
502436,2.69,2.15,1.68,4.38,0.43,2.7
503765,0.67,0.87,0.89,2.43,1.8,4.15
504657,2.16,1.93,1.49,4.03,0.71,3.31
507667,0.92,1.71,1.59,3.09,1.95,4.55
508212,1.92,0.53,0.59,2.58,1.64,3.15
197267,1.97,1.54,2.02,0.89,3.28,4.78
198958,3.41,4.64,4.55,5.23,4.58,7.19
206122,1.4,0.46,0.93,1.82,2.2,3.95
510923,2.17,3.4,3.67,2.48,4.58,6.97
511739,0.12,1.32,1.5,2.07,2.44,4.79
512368,3.12,2.31,1.85,4.58,0.69,2.07
512666,2.93,2.0,1.56,4.26,0.62,2.02
512737,3.03,2.07,1.64,4.33,0.72,1.92
513825,0.4,1.26,1.29,2.49,2.05,4.51
515230,2.82,1.77,1.36,4.0,0.76,2.02
206167,3.56,2.56,2.15,4.79,1.23,1.44
209673,1.71,0.63,1.06,1.85,2.3,3.83
223096,4.45,3.07,2.95,4.68,2.93,1.56
234375,0.44,1.19,1.22,2.48,2.0,4.44
517407,0.37,1.23,1.28,2.44,2.07,4.5
519494,2.31,2.92,2.63,4.49,2.24,4.78
519631,0.96,0.93,0.78,2.75,1.48,3.91
520389,2.09,0.76,0.59,2.91,1.37,2.86
522705,0.83,0.8,0.75,2.54,1.63,3.99
526016,3.08,1.92,1.57,4.1,1.11,1.74
528979,1.74,0.67,1.1,1.84,2.33,3.84
531195,3.2,2.26,1.83,4.52,0.84,1.81
238703,0.33,1.64,1.84,2.03,2.76,5.13
534410,0.6,1.36,1.32,2.71,1.93,4.45
534550,3.2,2.26,1.83,4.52,0.84,1.81
536440,0.72,1.83,2.11,1.69,3.12,5.4
537176,2.88,1.65,1.35,3.78,1.21,1.97
543342,2.58,1.35,1.04,3.52,1.08,2.27
546165,1.97,2.95,2.78,4.1,2.77,5.39
548052,0.33,1.1,1.31,2.0,2.32,4.61
239821,2.64,1.48,1.81,2.12,2.87,3.72
241614,2.73,2.21,1.74,4.43,0.5,2.72
242335,2.78,2.75,2.33,4.79,1.38,3.64
548085,0.34,1.06,1.26,2.04,2.26,4.56
554955,2.49,1.55,1.1,3.81,0.47,2.38
558366,2.41,2.36,1.94,4.39,1.1,3.56
558886,3.24,1.86,1.76,3.63,2.02,2.07
559801,1.88,3.25,3.43,2.88,4.17,6.68
560063,2.14,2.0,1.58,4.06,0.85,3.43
563971,3.29,2.11,1.77,4.27,1.28,1.53
564809,1.87,0.74,1.14,1.89,2.35,3.77
567962,5.19,3.81,3.69,5.34,3.61,1.72
252232,2.66,4.04,4.1,4.07,4.53,7.16
568129,2.87,1.58,1.33,3.63,1.41,2.06
568185,2.94,1.62,1.41,3.63,1.53,2.04
569610,4.25,2.87,2.76,4.49,2.79,1.63
572646,3.08,3.02,2.58,5.08,1.55,3.62
576046,0.85,2.09,2.08,2.95,2.58,5.16
578180,1.04,2.36,2.38,2.99,2.9,5.48
578558,0.82,1.39,1.27,2.9,1.75,4.3
582364,2.6,2.2,2.66,0.84,3.92,5.22
584348,2.7,3.72,3.54,4.78,3.4,5.98
253030,1.74,3.13,3.26,2.99,3.94,6.48
255195,2.44,1.73,1.26,3.98,0.05,2.6
256354,3.16,2.78,3.24,1.16,4.49,5.64
256677,2.62,2.1,1.63,4.33,0.42,2.76
585762,1.09,0.82,0.61,2.77,1.36,3.75
585872,2.73,2.76,2.34,4.76,1.43,3.73
587203,2.21,3.34,3.22,4.24,3.29,5.92
588268,0.24,1.51,1.59,2.41,2.36,4.82
588996,3.01,1.77,1.47,3.89,1.27,1.85
590503,0.53,0.88,1.02,2.2,2.02,4.31
594235,1.9,1.32,1.78,1.14,3.05,4.52
256982,2.32,2.07,1.63,4.19,0.73,3.25
265491,3.19,3.05,2.6,5.16,1.5,3.46
267816,2.99,2.71,2.25,4.86,1.09,3.12
268017,1.23,0.9,0.61,2.92,1.21,3.64
268022,1.33,0.89,0.55,2.97,1.12,3.53
269467,0.24,1.39,1.46,2.41,2.25,4.69
270189,1.85,1.27,1.74,1.15,3.01,4.51
270197,2.7,2.03,1.56,4.28,0.29,2.51
594580,1.65,1.42,1.89,0.85,3.16,4.84
598329,3.14,2.99,2.54,5.1,1.43,3.41
615381,2.22,1.2,0.77,3.47,0.68,2.6
617704,0.27,1.12,1.28,2.14,2.23,4.57
619728,0.4,1.49,1.51,2.57,2.2,4.7
621656,4.47,3.11,2.95,4.82,2.83,1.32
630566,2.39,3.62,3.55,4.28,3.71,6.34
634786,1.91,0.55,0.49,2.69,1.5,3.08
272282,2.62,1.35,1.08,3.48,1.22,2.26
273229,3.17,1.97,1.64,4.11,1.27,1.66
273932,2.1,0.73,0.65,2.81,1.5,2.92
274156,3.43,2.51,2.08,4.77,1.04,1.69
274221,2.75,2.39,1.92,4.57,0.77,2.98
636702,0.98,1.42,1.24,3.04,1.61,4.18
639137,3.35,1.96,1.98,3.38,2.49,2.5
639820,3.13,1.98,1.62,4.16,1.13,1.69
642491,5.32,3.94,3.96,4.97,4.24,2.86
644534,2.93,1.67,1.39,3.76,1.32,1.95
645513,2.23,3.15,2.96,4.37,2.82,5.43
648112,3.54,2.15,2.07,3.78,2.34,2.05
652294,3.19,1.8,1.84,3.25,2.41,2.58
275336,2.79,1.47,1.26,3.5,1.45,2.18
275346,4.32,3.1,3.32,3.42,4.11,3.86
276527,2.89,3.02,3.49,0.77,4.76,6.33
283231,1.82,2.23,1.93,3.95,1.64,4.26
288034,2.63,1.24,1.28,2.91,2.0,2.76
288781,2.95,1.98,1.55,4.23,0.68,1.97
290535,2.15,1.96,1.53,4.04,0.78,3.37
291160,2.26,3.03,2.78,4.43,2.52,5.1
295200,1.17,1.3,1.73,1.09,2.96,4.88
656990,2.28,1.46,1.9,1.43,3.12,4.33
659469,1.82,2.98,2.89,3.85,3.06,5.7
662879,3.7,2.49,2.17,4.58,1.67,1.13
663096,1.69,0.61,0.16,2.88,1.14,3.14
663732,1.87,1.62,1.2,3.71,0.73,3.36
667177,1.3,2.38,2.28,3.44,2.53,5.16
667248,1.48,1.27,0.91,3.3,0.98,3.56
670782,3.07,2.0,1.61,4.23,0.93,1.77
315769,0.27,1.31,1.54,1.91,2.54,4.84
320506,3.54,2.67,2.23,4.93,1.13,1.71
323854,0.54,1.82,2.04,1.97,2.97,5.33
330723,3.11,2.31,1.85,4.58,0.69,2.08
330745,2.52,2.97,2.63,4.68,2.07,4.54
330766,1.43,1.21,0.85,3.23,1.02,3.57
330957,0.72,0.78,0.83,2.38,1.79,4.1
852195,2.65,1.35,1.12,3.43,1.34,2.28
856159,2.0,3.12,3.0,4.06,3.09,5.73
857958,2.14,1.47,1.0,3.71,0.3,2.84
670956,2.74,3.77,3.6,4.81,3.47,6.05
671458,3.52,2.42,2.04,4.61,1.31,1.34
675175,4.37,5.48,5.81,3.87,6.8,9.1
677012,2.16,1.81,2.28,0.72,3.55,5.0
679965,2.32,3.44,3.31,4.36,3.34,5.96
682808,1.21,0.6,0.38,2.68,1.35,3.61
682871,2.4,1.25,1.59,2.02,2.7,3.72
684160,2.49,2.34,1.9,4.42,0.97,3.39
684639,3.18,1.79,1.82,3.26,2.37,2.55
859105,2.65,2.57,2.14,4.63,1.2,3.52
865191,0.7,0.78,0.85,2.36,1.81,4.12
865367,0.7,0.78,0.85,2.36,1.81,4.12
866298,3.86,2.46,2.44,3.9,2.76,2.2
866483,0.98,0.53,0.91,1.87,2.14,4.15
868198,0.7,0.78,0.85,2.36,1.81,4.12
871899,1.05,1.15,1.57,1.26,2.79,4.75
875171,3.24,1.87,1.96,3.13,2.62,2.79
684643,3.06,1.67,1.66,3.28,2.16,2.45
688295,3.18,4.19,4.54,2.56,5.6,7.8
688527,2.32,3.62,3.6,4.08,3.88,6.52
688946,1.6,2.94,2.95,3.39,3.39,6.0
689713,1.59,1.97,1.69,3.7,1.53,4.17
694516,2.55,3.44,3.81,1.77,4.92,7.05
696301,1.65,1.51,1.12,3.53,0.92,3.55
698593,1.32,0.83,1.3,1.44,2.56,4.34
699920,1.99,0.91,0.49,3.18,0.91,2.83
876101,2.67,3.25,2.94,4.85,2.44,4.91
877884,2.77,1.37,1.37,3.07,1.98,2.6
700150,2.04,0.96,0.54,3.23,0.87,2.78
703941,0.74,0.8,0.82,2.44,1.74,4.07
703973,0.82,0.63,0.73,2.32,1.78,4.02
703978,0.68,0.74,0.87,2.24,1.9,4.17
703984,0.71,0.7,0.84,2.23,1.89,4.14
715036,3.29,2.34,1.91,4.59,0.94,1.72
721378,0.57,1.32,1.28,2.67,1.93,4.43
721470,0.57,1.32,1.28,2.67,1.93,4.43
721471,0.65,1.2,1.14,2.67,1.81,4.29
721473,0.57,1.32,1.28,2.67,1.93,4.43
721478,0.57,1.32,1.28,2.67,1.93,4.43
721479,0.57,1.32,1.28,2.67,1.93,4.43
721504,0.84,0.64,0.7,2.37,1.72,3.99
879969,1.54,1.16,0.76,3.26,0.89,3.42
721509,0.72,0.76,0.83,2.35,1.81,4.11
721510,0.72,0.76,0.83,2.35,1.81,4.11
721511,0.72,0.76,0.83,2.35,1.81,4.11
721512,0.72,0.76,0.83,2.35,1.81,4.11
722100,3.09,2.15,1.71,4.41,0.75,1.89
722742,1.73,0.67,1.11,1.82,2.34,3.85
883382,2.23,2.66,3.1,0.63,4.33,6.18
884420,5.11,3.74,3.78,4.72,4.12,2.91
886088,0.92,0.47,0.71,2.16,1.87,4.0
887953,0.42,1.68,1.9,1.94,2.85,5.2
723462,2.92,2.82,2.38,4.9,1.35,3.5
724298,0.78,1.98,2.23,1.84,3.2,5.53
724523,3.64,2.54,2.16,4.72,1.43,1.22
725009,3.17,2.13,1.72,4.36,0.95,1.71
728480,2.54,1.15,1.14,2.96,1.82,2.7
729078,2.91,2.23,1.76,4.49,0.5,2.37
731049,5.18,3.79,3.73,5.13,3.81,2.17
737759,0.94,0.82,0.7,2.66,1.51,3.89
739557,0.31,1.09,1.23,2.19,2.17,4.52
888988,2.59,1.35,1.63,2.3,2.64,3.48
889491,2.22,3.27,3.12,4.31,3.11,5.73
889575,2.23,3.41,3.7,2.32,4.66,7.0
892906,1.08,0.82,0.62,2.76,1.37,3.76
740113,3.03,1.94,1.55,4.15,0.95,1.8
742156,2.41,1.99,2.46,0.82,3.72,5.06
742241,2.33,2.04,2.51,0.61,3.78,5.21
743612,1.87,3.25,3.4,3.05,4.07,6.61
744153,0.6,1.18,1.14,2.62,1.85,4.32
745220,2.32,2.0,2.47,0.66,3.74,5.16
745275,2.42,2.12,2.59,0.63,3.85,5.26
746086,4.94,3.55,3.5,4.89,3.62,2.15
748693,2.62,1.66,1.22,3.92,0.52,2.25
750066,3.06,1.96,1.58,4.16,0.99,1.77
892922,1.7,0.93,0.46,3.16,0.84,3.14
892927,2.03,1.1,0.64,3.37,0.67,2.8
892943,2.03,1.09,0.63,3.36,0.68,2.8
892949,1.34,1.44,1.14,3.31,1.24,3.85
893052,1.43,0.48,0.95,1.82,2.22,3.94
893399,2.42,3.72,3.69,4.2,3.94,6.58
894483,1.07,2.46,2.56,2.73,3.23,5.76
894512,1.24,2.58,2.61,3.1,3.11,5.71
895091,2.27,0.89,0.84,2.87,1.61,2.82
753322,1.59,0.66,1.13,1.7,2.39,4.0
756588,2.51,1.59,1.14,3.86,0.42,2.38
757149,2.23,0.86,0.77,2.88,1.54,2.82
759351,4.06,2.71,2.53,4.52,2.4,1.3
759769,0.38,1.06,1.28,1.97,2.31,4.58
760981,2.79,2.77,2.34,4.8,1.39,3.64
764452,1.7,2.67,2.51,3.84,2.56,5.2
767596,0.95,1.57,1.94,1.24,3.09,5.18
896367,0.56,1.31,1.28,2.66,1.94,4.43
900045,1.75,2.32,2.05,3.91,1.86,4.48
902403,1.51,1.0,0.6,3.14,0.93,3.37
903135,3.04,1.72,1.9,2.77,2.72,3.14
904862,2.58,1.89,1.42,4.15,0.16,2.55
906559,1.34,1.55,1.26,3.36,1.33,3.95
912414,3.95,2.59,2.43,4.35,2.41,1.5
770175,0.57,1.85,2.07,1.98,3.0,5.37
771440,0.66,2.02,2.09,2.63,2.76,5.28
772098,3.21,2.45,1.99,4.72,0.78,2.11
773886,1.22,1.26,1.7,1.09,2.94,4.83
775644,3.12,1.78,1.59,3.72,1.7,1.94
775794,2.59,3.6,3.42,4.68,3.29,5.88
776038,1.2,0.9,1.34,1.4,2.6,4.46
915823,1.59,0.58,0.11,2.84,1.16,3.24
916232,1.84,0.6,0.32,2.84,1.26,3.03
917308,1.63,0.48,0.1,2.75,1.27,3.23
918481,1.62,0.98,0.54,3.17,0.85,3.24
919483,3.44,2.52,2.08,4.77,1.05,1.66
922906,3.44,2.52,2.08,4.77,1.05,1.66
922907,3.44,2.52,2.08,4.77,1.05,1.66
776174,2.64,2.23,1.76,4.42,0.61,2.93
777476,2.29,1.08,0.75,3.28,1.06,2.56
777587,3.47,2.25,1.94,4.35,1.51,1.37
790404,1.32,0.92,1.38,1.35,2.65,4.43
790475,1.42,0.53,1.0,1.76,2.27,4.0
791717,2.5,3.57,3.42,4.55,3.37,5.97
799240,3.15,2.18,1.75,4.43,0.84,1.8
925557,0.73,0.86,1.2,1.73,2.36,4.47
928725,2.21,2.01,1.57,4.1,0.76,3.33
929663,3.44,2.52,2.08,4.77,1.05,1.66
931437,2.93,1.77,1.42,3.96,1.03,1.89
931756,2.93,1.8,1.43,4.0,0.98,1.89
933094,4.55,3.21,3.32,4.03,3.85,3.13
800045,4.2,2.85,2.96,3.76,3.52,2.99
801237,0.74,2.02,2.24,1.99,3.16,5.54
804268,1.87,2.67,2.45,4.04,2.33,4.95
811918,5.37,4.0,4.05,4.9,4.41,3.13
813031,3.31,2.33,1.91,4.58,0.98,1.67
814172,2.72,3.85,3.72,4.72,3.69,6.3
814177,2.72,3.85,3.72,4.72,3.69,6.3
934979,0.34,1.25,1.3,2.43,2.1,4.53
936734,3.62,2.44,2.11,4.57,1.55,1.2
936781,1.77,1.77,2.23,0.5,3.49,5.21
936850,0.73,1.97,2.22,1.9,3.16,5.51
814202,2.72,3.85,3.72,4.72,3.69,6.3
814226,2.72,3.85,3.72,4.72,3.69,6.3
820497,2.91,1.55,1.7,2.81,2.49,2.99
821100,3.08,2.0,1.61,4.22,0.95,1.77
821523,0.16,1.55,1.69,2.23,2.54,4.96
823272,1.62,0.24,0.42,2.43,1.64,3.39
824902,0.79,2.06,2.29,1.99,3.21,5.59
826397,2.93,2.21,2.65,1.48,3.84,4.81
936900,4.5,3.16,2.97,4.95,2.75,1.08
937331,1.87,0.54,0.85,2.23,2.01,3.46
937657,4.08,2.75,2.88,3.58,3.51,3.12
938006,4.2,2.85,2.94,3.8,3.47,2.91
939692,2.18,3.21,3.05,4.28,3.02,5.64
939792,1.99,1.17,1.62,1.45,2.86,4.23
940338,1.56,0.96,0.53,3.13,0.91,3.3
940374,1.55,2.93,3.0,3.15,3.55,6.14
942410,1.81,3.1,3.08,3.67,3.41,6.05
827250,0.35,1.18,1.42,1.88,2.46,4.72
832755,2.03,3.21,3.13,4.01,3.28,5.92
839655,3.08,2.0,1.61,4.22,0.95,1.76
840123,5.44,4.07,4.12,4.97,4.46,3.14
842126,1.05,1.14,1.56,1.26,2.78,4.74
842389,4.4,3.02,3.06,4.14,3.46,2.62
846423,1.07,1.11,1.54,1.27,2.77,4.71
847195,2.61,1.26,1.09,3.28,1.48,2.4
945007,0.26,1.31,1.54,1.92,2.54,4.84
945564,1.94,0.88,0.44,3.15,0.91,2.88
946122,1.89,2.61,2.38,4.06,2.21,4.82
947269,2.98,1.67,1.44,3.7,1.48,1.98
849035,1.35,1.42,1.11,3.31,1.21,3.81
852134,3.25,1.97,1.7,4.01,1.54,1.67
1047089,1.48,0.9,1.37,1.39,2.64,4.33
1060614,1.06,1.79,1.63,3.22,1.89,4.5
1061343,3.91,2.77,3.06,2.89,3.98,4.09
1064956,3.91,2.67,2.9,3.12,3.72,3.67
1067338,3.47,2.21,1.93,4.25,1.64,1.42
1068523,1.41,1.16,0.8,3.19,1.03,3.56
1068919,1.33,0.28,0.75,1.99,2.02,3.85
948689,2.62,2.22,1.75,4.41,0.6,2.93
951364,2.13,0.77,0.98,2.4,2.03,3.26
954380,2.55,1.53,1.11,3.78,0.63,2.28
956256,3.71,2.41,2.17,4.37,1.94,1.3
956768,0.36,1.13,1.21,2.33,2.08,4.47
957402,4.15,2.87,2.61,4.84,2.22,0.85
957657,3.4,2.43,2.01,4.68,1.05,1.61
1069572,0.74,0.66,0.92,2.04,2.05,4.21
1070322,1.81,1.63,2.1,0.65,3.37,5.01
1071740,4.82,3.44,3.33,4.96,3.32,1.71
1073748,5.89,5.19,5.59,3.95,6.69,6.9
1074936,1.22,1.11,0.82,3.05,1.21,3.73
1075855,0.96,1.37,1.75,1.23,2.94,4.98
1077851,3.0,3.18,3.65,0.92,4.91,6.5
1078049,2.43,1.22,0.89,3.41,1.04,2.41
958946,2.95,1.81,1.44,4.0,1.01,1.87
959089,2.14,1.56,2.03,1.06,3.28,4.66
959880,2.6,2.03,1.56,4.26,0.31,2.69
961548,1.8,1.25,1.72,1.15,2.98,4.51
1079887,3.04,1.65,1.6,3.33,2.07,2.38
1082656,0.65,1.02,1.0,2.55,1.78,4.21
1084712,3.1,2.31,2.72,1.69,3.89,4.73
1085376,1.04,1.62,1.44,3.17,1.72,4.32
1091090,1.05,0.6,1.02,1.74,2.26,4.21
1092780,1.36,0.6,1.08,1.67,2.35,4.1
1094548,1.51,1.38,1.84,0.89,3.1,4.86
1094604,2.38,3.65,3.61,4.2,3.83,6.47
1098571,2.58,2.0,1.53,4.24,0.29,2.69
963289,3.32,1.95,1.81,3.76,1.99,1.94
963533,2.29,1.11,0.76,3.33,0.98,2.54
965681,2.29,1.11,0.76,3.33,0.98,2.54
965712,2.54,1.34,1.01,3.52,1.03,2.3
965733,2.42,1.21,0.88,3.4,1.03,2.43
966895,1.91,1.51,1.07,3.66,0.58,3.2
967346,2.36,1.23,0.85,3.46,0.86,2.46
968489,2.8,2.76,2.33,4.8,1.36,3.61
973013,0.74,2.02,2.24,2.0,3.16,5.54
976595,1.64,0.4,0.18,2.66,1.38,3.25
1098894,1.96,0.63,0.49,2.79,1.41,2.99
1100121,1.78,0.92,1.38,1.54,2.63,4.12
1100506,1.75,2.32,2.05,3.91,1.86,4.48
1102498,0.84,0.6,0.92,1.94,2.1,4.19
1102747,0.97,1.22,1.03,2.94,1.5,4.04
1102856,1.73,2.29,2.7,0.77,3.9,5.87
1106433,1.61,1.64,1.29,3.58,1.09,3.72
1109989,3.16,2.2,1.77,4.45,0.84,1.8
977631,2.34,0.95,1.04,2.68,1.92,2.98
1111412,2.95,2.17,2.59,1.57,3.78,4.7
1111418,2.31,0.95,1.13,2.5,2.1,3.16
1112838,3.69,2.5,2.17,4.61,1.61,1.13
1114170,1.96,1.25,1.71,1.29,2.96,4.38
1119598,0.22,1.34,1.55,1.96,2.53,4.85
1125212,2.54,1.15,1.14,2.96,1.82,2.7
1129827,1.41,1.29,0.95,3.27,1.07,3.65
977745,3.92,2.54,2.59,3.75,3.04,2.56
978990,2.21,1.51,1.04,3.76,0.24,2.78
979073,0.86,1.01,1.4,1.49,2.59,4.63
982492,2.01,0.63,0.78,2.49,1.83,3.2
982915,0.68,1.09,1.43,1.59,2.58,4.7
984985,1.68,0.83,1.3,1.57,2.55,4.1
986015,1.35,0.58,1.05,1.69,2.32,4.09
986101,3.44,2.66,2.2,4.93,1.01,1.96
1136384,2.06,0.71,0.6,2.81,1.46,2.93
1139069,4.11,2.76,2.84,3.75,3.38,2.86
1139791,2.07,1.84,2.31,0.56,3.58,5.12
1139849,2.0,2.62,2.34,4.18,2.06,4.65
1140144,0.91,2.28,2.35,2.77,2.97,5.52
1145940,0.74,1.32,1.67,1.44,2.81,4.93
1147333,0.96,0.79,0.67,2.64,1.5,3.86
1149191,2.99,2.48,2.94,1.2,4.17,5.27
986639,2.72,2.32,1.86,4.51,0.68,2.93
986692,0.71,1.23,1.57,1.5,2.72,4.84
986867,2.51,1.24,1.51,2.32,2.52,3.42
988755,2.51,1.24,1.51,2.32,2.52,3.42
1150062,3.02,2.5,2.95,1.23,4.19,5.27
1150128,2.98,2.59,3.05,1.06,4.3,5.48
1154761,2.39,1.18,0.85,3.37,1.05,2.45
1161417,0.9,0.88,1.27,1.57,2.48,4.49
1164746,2.1,1.27,1.72,1.43,2.95,4.26
1165432,1.16,0.3,0.72,2.02,1.97,3.92
1169088,3.52,2.27,1.98,4.32,1.65,1.35
1169142,1.03,0.61,0.53,2.55,1.52,3.79
988917,3.48,2.1,2.0,3.79,2.23,1.98
996713,2.89,1.66,1.35,3.8,1.2,1.96
1000720,1.66,2.76,3.07,1.81,4.08,6.36
1001959,5.56,6.77,7.05,5.29,7.95,10.35
1169191,0.11,1.33,1.51,2.07,2.45,4.8
1186442,3.09,1.98,1.6,4.18,1.01,1.74
1186506,3.09,1.98,1.6,4.18,1.01,1.74
1186521,3.09,1.98,1.6,4.18,1.01,1.74
1186539,3.09,1.98,1.6,4.18,1.01,1.74
1186559,3.09,1.98,1.6,4.18,1.01,1.74
1190491,0.65,0.78,1.04,1.95,2.16,4.34
1193162,2.23,0.95,0.69,3.12,1.23,2.67
1193842,3.86,2.74,2.37,4.9,1.63,1.01
1002233,3.52,2.68,2.23,4.95,1.09,1.8
1002372,2.8,3.76,3.56,4.91,3.35,5.91
1197169,2.81,2.14,2.58,1.34,3.79,4.84
1197458,1.98,3.11,3.0,4.03,3.11,5.75
1198074,1.3,1.06,0.74,3.06,1.13,3.63
1199380,1.7,0.42,0.25,2.67,1.39,3.21
1199382,1.01,0.71,0.59,2.62,1.48,3.81
1199594,2.02,1.42,0.95,3.63,0.41,2.98
1201871,2.4,1.33,1.71,1.87,2.85,3.89
