id,dist_to_sagrada_familia_km,dist_to_casa_mila_km,dist_to_casa_batllo_km,dist_to_parc_guell_km,dist_to_la_rambla_km,dist_to_montjuic_km
9523853,0.58,1.95,2.03,2.56,2.72,5.23
9537761,1.59,0.46,0.91,1.93,2.16,3.79
9560093,2.49,1.48,1.05,3.74,0.6,2.35
9568785,2.88,1.83,1.42,4.07,0.78,1.97
9601840,1.88,1.01,0.53,3.26,0.74,2.95
9602167,2.13,0.78,0.99,2.4,2.03,3.26
10555436,1.36,0.37,0.85,1.9,2.12,3.9
10564417,1.59,1.28,0.89,3.36,0.86,3.44
10578648,3.3,2.41,1.97,4.67,0.91,1.8
10581101,0.88,1.64,1.52,3.03,1.91,4.5
10591138,2.98,1.83,1.47,4.02,1.04,1.84
10621483,0.31,1.37,1.61,1.87,2.61,4.91
10078923,2.63,2.62,2.19,4.64,1.29,3.63
10642160,1.05,1.32,1.11,3.05,1.47,4.04
10648602,3.89,2.51,2.39,4.19,2.48,1.71
10649499,1.14,1.22,1.65,1.16,2.88,4.81
10663752,1.82,2.53,2.3,4.0,2.15,4.77
10668150,1.72,1.05,0.59,3.26,0.75,3.15
10668282,2.8,1.5,1.27,3.54,1.41,2.14
10689360,0.81,0.67,0.74,2.37,1.75,4.02
10080180,1.9,1.68,1.26,3.75,0.75,3.39
10081738,2.32,2.01,1.56,4.15,0.62,3.16
10692054,0.21,1.6,1.74,2.24,2.58,5.0
10706897,3.15,2.24,1.8,4.5,0.77,1.89
10716366,1.53,1.72,1.4,3.57,1.27,3.91
10716793,0.53,1.82,2.04,1.99,2.96,5.33
10724048,1.88,3.27,3.36,3.3,3.93,6.51
10727331,3.85,2.52,2.31,4.41,2.14,1.29
10737758,3.22,2.55,2.08,4.81,0.83,2.29
10752315,0.94,0.64,1.03,1.77,2.25,4.26
10756694,0.63,0.8,0.91,2.28,1.9,4.2
10759270,1.87,0.96,1.4,1.6,2.64,4.06
10770236,0.26,1.32,1.4,2.4,2.19,4.63
10082422,0.54,0.86,1.02,2.17,2.03,4.31
10082639,1.73,1.62,1.23,3.64,0.91,3.55
10100456,1.48,0.67,1.14,1.63,2.41,4.09
10101630,2.54,1.98,1.51,4.21,0.28,2.73
10101846,3.77,2.38,2.32,3.92,2.58,2.05
10109984,4.31,2.96,2.78,4.72,2.64,1.24
10797204,1.55,0.9,1.37,1.42,2.64,4.28
10805338,0.32,1.22,1.29,2.38,2.11,4.53
10818488,1.55,0.29,0.72,2.1,1.97,3.66
10823776,2.68,1.64,1.23,3.88,0.69,2.15
10830088,1.49,1.58,1.25,3.47,1.18,3.81
10832320,2.49,1.89,1.41,4.13,0.17,2.69
10846280,4.98,3.59,3.58,4.78,3.8,2.46
10869502,1.34,0.58,1.05,1.69,2.32,4.1
10880856,1.05,0.38,0.74,2.04,1.96,3.98
10892193,2.18,1.87,1.43,4.01,0.6,3.2
10893207,0.92,0.6,0.97,1.84,2.18,4.21
10897247,3.11,1.78,1.58,3.74,1.66,1.92
10111416,0.85,2.08,2.33,1.88,3.28,5.63
10113300,1.3,0.88,0.55,2.94,1.15,3.56
10114547,5.66,4.3,4.37,5.11,4.75,3.42
10115098,2.64,1.42,1.1,3.58,1.09,2.21
10127537,2.14,1.47,1.0,3.71,0.3,2.85
10132170,1.24,0.83,0.53,2.87,1.22,3.6
10132419,1.34,0.8,0.46,2.91,1.14,3.5
10897779,1.14,0.4,0.83,1.91,2.08,4.01
10901469,1.71,2.81,3.12,1.82,4.13,6.41
10903401,0.69,1.23,1.16,2.73,1.79,4.28
10903902,1.63,2.74,3.05,1.82,4.06,6.34
10920265,2.52,1.23,0.98,3.35,1.25,2.38
10941193,2.12,1.91,1.48,4.0,0.74,3.34
10951605,2.6,1.66,1.22,3.93,0.46,2.29
10960459,2.64,2.33,1.87,4.49,0.77,3.09
